model,status,question,horizon,condition,fresh_probability,authors_panel_median,matched_baseline_probability,matched_baseline
Opus 5,complete,ladder:cyber:1M,2050,eci_p90,0.31,0.38675000000000004,0.381,Original Opus 5
Fable 5.1,refused,ladder:cyber:1M,2050,eci_p90,,0.38675000000000004,0.3925,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:1M,2050,eci_p90,0.375,0.38675000000000004,0.202,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:1M,2100,unconditional,0.38,0.502,0.504,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:1M,2100,unconditional,0.25,0.502,0.47,Original Opus 5
Fable 5.1,refused,ladder:cyber:1M,2100,unconditional,,0.502,0.5,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:1M,2100,unconditional,0.25,0.502,0.3,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:1M,2100,sq,0.47,0.544,0.576,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:1M,2100,sq,0.275,0.544,0.503,Original Opus 5
Fable 5.1,refused,ladder:cyber:1M,2100,sq,,0.544,0.512,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:1M,2100,sq,0.25,0.544,0.3,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:1M,2100,p1,0.49,0.5525,0.6,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:1M,2100,p1,0.26,0.5525,0.482,Original Opus 5
Fable 5.1,refused,ladder:cyber:1M,2100,p1,,0.5525,0.505,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:1M,2100,p1,0.2625,0.5525,0.315,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:1M,2100,p2a,0.355,0.46499999999999997,0.456,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:1M,2100,p2a,0.228,0.46499999999999997,0.46,Original Opus 5
Fable 5.1,refused,ladder:cyber:1M,2100,p2a,,0.46499999999999997,0.474,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:1M,2100,p2a,0.225,0.46499999999999997,0.285,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:1M,2100,p2b,0.285,0.422,0.408,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:1M,2100,p2b,0.188,0.422,0.436,Original Opus 5
Fable 5.1,refused,ladder:cyber:1M,2100,p2b,,0.422,0.454,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:1M,2100,p2b,0.15,0.422,0.255,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:1M,2100,p3a,0.3,0.4365,0.432,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:1M,2100,p3a,0.22,0.4365,0.441,Original Opus 5
Fable 5.1,refused,ladder:cyber:1M,2100,p3a,,0.4365,0.468,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:1M,2100,p3a,0.2125,0.4365,0.27,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:1M,2100,p3b,0.23,0.39,0.36,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:1M,2100,p3b,0.183,0.39,0.42,Original Opus 5
Fable 5.1,refused,ladder:cyber:1M,2100,p3b,,0.39,0.444,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:1M,2100,p3b,0.175,0.39,0.24,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:1M,2100,p4,0.28,0.4395,0.432,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:1M,2100,p4,0.223,0.4395,0.447,Original Opus 5
Fable 5.1,refused,ladder:cyber:1M,2100,p4,,0.4395,0.468,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:1M,2100,p4,0.2,0.4395,0.255,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:1M,2100,p5,0.16,0.352,0.312,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:1M,2100,p5,0.13,0.352,0.392,Original Opus 5
Fable 5.1,refused,ladder:cyber:1M,2100,p5,,0.352,0.412,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:1M,2100,p5,0.1,0.352,0.18,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:1M,2100,eci_p10,0.32,0.38,0.384,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:1M,2100,eci_p10,0.175,0.38,0.376,Original Opus 5
Fable 5.1,refused,ladder:cyber:1M,2100,eci_p10,,0.38,0.487,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:1M,2100,eci_p10,0.125,0.38,0.24,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:1M,2100,eci_p25,0.35,0.431,0.432,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:1M,2100,eci_p25,0.212,0.431,0.43,Original Opus 5
Fable 5.1,refused,ladder:cyber:1M,2100,eci_p25,,0.431,0.492,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:1M,2100,eci_p25,0.1875,0.431,0.27,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:1M,2100,eci_p50,0.38,0.4875,0.48,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:1M,2100,eci_p50,0.25,0.4875,0.47,Original Opus 5
Fable 5.1,refused,ladder:cyber:1M,2100,eci_p50,,0.4875,0.495,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:1M,2100,eci_p50,0.25,0.4875,0.3,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:1M,2100,eci_p75,0.425,0.522,0.528,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:1M,2100,eci_p75,0.31,0.522,0.516,Original Opus 5
Fable 5.1,refused,ladder:cyber:1M,2100,eci_p75,,0.522,0.512,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:1M,2100,eci_p75,0.375,0.522,0.345,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:1M,2100,eci_p90,0.48,0.587,0.6,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:1M,2100,eci_p90,0.39,0.587,0.574,Original Opus 5
Fable 5.1,refused,ladder:cyber:1M,2100,eci_p90,,0.587,0.524,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:1M,2100,eci_p90,0.625,0.587,0.405,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,6mo,unconditional,0.0006,0.000235,4.6e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,6mo,unconditional,0.0016,0.000235,0.00035,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,6mo,unconditional,,0.000235,0.0007,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,6mo,unconditional,0.0002,0.000235,0.0001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,6mo,sq,0.00058,0.0002595,4.4e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,6mo,sq,0.0018,0.0002595,0.000369,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,6mo,sq,,0.0002595,0.00069,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,6mo,sq,0.0002,0.0002595,0.0001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,6mo,p1,0.00065,0.0002585,4.6e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,6mo,p1,0.0017,0.0002585,0.000357,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,6mo,p1,,0.0002585,0.00069,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,6mo,p1,0.00021,0.0002585,0.0001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,6mo,p2a,0.00044,0.00021700000000000002,3.8e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,6mo,p2a,0.0014,0.00021700000000000002,0.000344,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,6mo,p2a,,0.00021700000000000002,0.00067,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,6mo,p2a,0.00018,0.00021700000000000002,0.0001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,6mo,p2b,0.00034,0.0002005,3.4e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,6mo,p2b,0.0011,0.0002005,0.000333,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,6mo,p2b,,0.0002005,0.00067,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,6mo,p2b,0.00012,0.0002005,0.0001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,6mo,p3a,0.0003,0.0002095,3.2e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,6mo,p3a,0.0014,0.0002095,0.000335,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,6mo,p3a,,0.0002095,0.00064,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,6mo,p3a,0.00017,0.0002095,0.0001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,6mo,p3b,0.0002,0.000193,2.6e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,6mo,p3b,0.0011,0.000193,0.000326,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,6mo,p3b,,0.000193,0.00063,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,6mo,p3b,0.00014,0.000193,0.0001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,6mo,p4,0.00029,0.0002115,3.4e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,6mo,p4,0.0014,0.0002115,0.000337,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,6mo,p4,,0.0002115,0.00063,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,6mo,p4,0.00016,0.0002115,0.0001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,6mo,p5,0.00013,0.0001745,2e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,6mo,p5,0.0007,0.0001745,0.000313,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,6mo,p5,,0.0001745,0.0006,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,6mo,p5,8e-05,0.0001745,0.0001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,6mo,eci_p10,0.00022,0.0001565,2.6e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,6mo,eci_p10,0.001,0.0001565,0.000259,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,6mo,eci_p10,,0.0001565,0.00056,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,6mo,eci_p10,0.0001,0.0001565,0.0001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,6mo,eci_p25,0.00034,0.00019449999999999998,3.2e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,6mo,eci_p25,0.0013,0.00019449999999999998,0.000305,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,6mo,eci_p25,,0.00019449999999999998,0.00063,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,6mo,eci_p25,0.00015,0.00019449999999999998,0.0001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,6mo,eci_p50,0.00048,0.000235,4e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,6mo,eci_p50,0.0016,0.000235,0.00035,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,6mo,eci_p50,,0.000235,0.00069,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,6mo,eci_p50,0.0002,0.000235,0.0001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,6mo,eci_p75,0.0009,0.000303,5.2e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,6mo,eci_p75,0.0021,0.000303,0.000406,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,6mo,eci_p75,,0.000303,0.0008,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,6mo,eci_p75,0.0003,0.000303,0.0001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,6mo,eci_p90,0.0018,0.00039999999999999996,6.8e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,6mo,eci_p90,0.003,0.00039999999999999996,0.00049,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,6mo,eci_p90,,0.00039999999999999996,0.00095,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,6mo,eci_p90,0.0005,0.00039999999999999996,0.0001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,12mo,unconditional,0.0018,0.00065,0.0001725,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,12mo,unconditional,0.0032,0.00065,0.0008,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,12mo,unconditional,,0.00065,0.0015,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,12mo,unconditional,0.0005,0.00065,0.0005,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,12mo,sq,0.002,0.00075,0.000165,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,12mo,sq,0.0036,0.00075,0.00087,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,12mo,sq,,0.00075,0.00147,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,12mo,sq,0.0005,0.00075,0.0005,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,12mo,p1,0.0023,0.000748,0.0001725,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,12mo,p1,0.0034,0.000748,0.000826,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,12mo,p1,,0.000748,0.00147,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,12mo,p1,0.000525,0.000748,0.0005,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,12mo,p2a,0.00135,0.0005790000000000001,0.0001425,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,12mo,p2a,0.0029,0.0005790000000000001,0.000778,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,12mo,p2a,,0.0005790000000000001,0.00144,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,12mo,p2a,0.00045,0.0005790000000000001,0.0004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,12mo,p2b,0.00098,0.000508,0.0001275,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,12mo,p2b,0.0023,0.000508,0.000736,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,12mo,p2b,,0.000508,0.00143,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,12mo,p2b,0.0003,0.000508,0.0004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,12mo,p3a,0.00086,0.000548,0.00012,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,12mo,p3a,0.0028,0.000548,0.000746,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,12mo,p3a,,0.000548,0.00138,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,12mo,p3a,0.000425,0.000548,0.0004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,12mo,p3b,0.00057,0.000482,9.75e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,12mo,p3b,0.0022,0.000482,0.000714,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,12mo,p3b,,0.000482,0.00135,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,12mo,p3b,0.00035,0.000482,0.0004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,12mo,p4,0.00083,0.000556,0.0001275,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,12mo,p4,0.0028,0.000556,0.000752,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,12mo,p4,,0.000556,0.00135,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,12mo,p4,0.0004,0.000556,0.0004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,12mo,p5,0.00036,0.000408,7.5e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,12mo,p5,0.0015,0.000408,0.000666,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,12mo,p5,,0.000408,0.00128,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,12mo,p5,0.0002,0.000408,0.0003,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,12mo,eci_p10,0.0007,0.000387,9.75e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,12mo,eci_p10,0.0021,0.000387,0.000544,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,12mo,eci_p10,,0.000387,0.0012,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,12mo,eci_p10,0.00025,0.000387,0.0004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,12mo,eci_p25,0.00105,0.000511,0.00012,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,12mo,eci_p25,0.0026,0.000511,0.000672,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,12mo,eci_p25,,0.000511,0.00135,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,12mo,eci_p25,0.000375,0.000511,0.0004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,12mo,eci_p50,0.0015,0.00065,0.00015,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,12mo,eci_p50,0.0032,0.00065,0.0008,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,12mo,eci_p50,,0.00065,0.00147,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,12mo,eci_p50,0.0005,0.00065,0.0005,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,12mo,eci_p75,0.0027,0.000894,0.000195,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,12mo,eci_p75,0.0042,0.000894,0.000968,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,12mo,eci_p75,,0.000894,0.00173,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,12mo,eci_p75,0.00075,0.000894,0.0005,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,12mo,eci_p90,0.0048,0.0012599999999999998,0.000255,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,12mo,eci_p90,0.0059,0.0012599999999999998,0.00122,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,12mo,eci_p90,,0.0012599999999999998,0.002,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,12mo,eci_p90,0.00125,0.0012599999999999998,0.0006,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2028,unconditional,0.009,0.003,0.001725,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2028,unconditional,0.008,0.003,0.003,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2028,unconditional,,0.003,0.006,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2028,unconditional,0.002,0.003,0.002,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2028,sq,0.011,0.003615,0.00165,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2028,sq,0.009,0.003615,0.00343,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2028,sq,,0.003615,0.006,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2028,sq,0.002,0.003615,0.002,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2028,p1,0.0125,0.00358,0.001725,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2028,p1,0.0085,0.00358,0.00316,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2028,p1,,0.00358,0.0059,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2028,p1,0.0021,0.00358,0.002,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2028,p2a,0.0068,0.00258,0.001425,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2028,p2a,0.0072,0.00258,0.00286,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2028,p2a,,0.00258,0.0055,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2028,p2a,0.0018,0.00258,0.001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2028,p2b,0.0049,0.002155,0.001275,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2028,p2b,0.0058,0.002155,0.00261,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2028,p2b,,0.002155,0.0054,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2028,p2b,0.0012,0.002155,0.001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2028,p3a,0.0045,0.002385,0.0012,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2028,p3a,0.0069,0.002385,0.00267,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2028,p3a,,0.002385,0.0051,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2028,p3a,0.0017,0.002385,0.001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2028,p3b,0.003,0.001985,0.000975,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2028,p3b,0.0055,0.001985,0.00247,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2028,p3b,,0.001985,0.0048,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2028,p3b,0.0014,0.001985,0.001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2028,p4,0.0043,0.002455,0.001275,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2028,p4,0.007,0.002455,0.00271,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2028,p4,,0.002455,0.0052,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2028,p4,0.0016,0.002455,0.001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2028,p5,0.0018,0.0015400000000000001,0.00075,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2028,p5,0.0037,0.0015400000000000001,0.00218,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2028,p5,,0.0015400000000000001,0.0043,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2028,p5,0.0008,0.0015400000000000001,0.001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2028,eci_p10,0.0038,0.001555,0.000975,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2028,eci_p10,0.0053,0.001555,0.00171,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2028,eci_p10,,0.001555,0.0047,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2028,eci_p10,0.001,0.001555,0.001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2028,eci_p25,0.0056,0.0022199999999999998,0.0012,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2028,eci_p25,0.0066,0.0022199999999999998,0.00234,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2028,eci_p25,,0.0022199999999999998,0.0053,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2028,eci_p25,0.0015,0.0022199999999999998,0.001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2028,eci_p50,0.0077,0.003,0.0015,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2028,eci_p50,0.008,0.003,0.003,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2028,eci_p50,,0.003,0.0059,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2028,eci_p50,0.002,0.003,0.002,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2028,eci_p75,0.013,0.00446,0.00195,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2028,eci_p75,0.0106,0.00446,0.00402,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2028,eci_p75,,0.00446,0.0072,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2028,eci_p75,0.003,0.00446,0.002,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2028,eci_p90,0.021,0.00675,0.00255,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2028,eci_p90,0.0147,0.00675,0.0057,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2028,eci_p90,,0.00675,0.0087,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2028,eci_p90,0.005,0.00675,0.002,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2030,unconditional,0.024,0.010525,0.00805,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2030,unconditional,0.014,0.010525,0.008,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2030,unconditional,,0.010525,0.015,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2030,unconditional,0.01,0.010525,0.008,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2030,sq,0.033,0.012405,0.0077,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2030,sq,0.016,0.012405,0.00941,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2030,sq,,0.012405,0.0154,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2030,sq,0.01,0.012405,0.008,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2030,p1,0.037,0.011805,0.00805,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2030,p1,0.015,0.011805,0.00851,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2030,p1,,0.011805,0.0151,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2030,p1,0.0105,0.011805,0.008,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2030,p2a,0.019,0.008775,0.00665,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2030,p2a,0.0126,0.008775,0.00755,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2030,p2a,,0.008775,0.0131,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2030,p2a,0.009,0.008775,0.007,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2030,p2b,0.0135,0.00706,0.00595,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2030,p2b,0.0102,0.00706,0.00672,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2030,p2b,,0.00706,0.012,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2030,p2b,0.006,0.00706,0.006,Initial Gemini pilot
